"Catch";"SE";"low";"high";"years"
45770.1477867043;0.204432255719804;30409.880502023;68889.005607154;1985
23693.6620789714;0.156423373710633;17328.6437795468;32396.6277946751;1986
23524.4595293924;0.168884283497047;16781.4170111167;32976.9646856058;1987
25770.2368081884;0.181592510358534;17922.1108432556;37055.0718583479;1988
17917.782319917;0.184819061826754;12380.9069240477;25930.8082383168;1989
13388.9522430854;0.154978421017914;9820.51009380037;18254.0459156791;1990
13160.5599608357;0.155246566068042;9647.81382517486;17952.2886346339;1991
18327.7254175588;0.170530581423305;13031.2953698215;25776.8325748593;1992
26986.867969303;0.183239300304861;18706.5134410656;38932.4844037375;1993
32934.5530432997;0.190666568754232;22492.664045374;48223.9356784864;1994
34901.0507001882;0.15834480889361;25427.3995990268;47904.3614048419;1995
43789.7409098619;0.163883098998087;31551.8860258191;60774.2246337888;1996
39254.4273537005;0.166407789223467;28141.5929535241;54755.6092297889;1997
37116.8387460013;0.158961160509897;27008.4132732429;51008.5396190788;1998
41455.8409134778;0.15785443367948;30232.5729903316;56845.5336697006;1999
33120.4923462786;0.157597522434646;24166.2528612948;45392.5157349003;2000
27793.3793309444;0.142628269915097;20895.6561768301;36968.0630316992;2001
22345.7618827038;0.140854692707478;16859.719117351;29616.927224168;2002
22811.2076992306;0.144058337417248;17100.9720359861;30428.1648787241;2003
20080.474070929;0.152084222034908;14814.1004391706;27219.0296379431;2004
23274.066889635;0.147756889054176;17319.3773649156;31276.0775500226;2005
19910.3455715507;0.179858753880562;13894.9013966013;28530.0233131222;2006
19440.3534644262;0.156733022557054;14209.1331307608;26597.4946778188;2007
15276.238248529;0.149331504203895;11332.0563783089;20593.2133793926;2008
9729.59834142487;0.138003726893611;7382.89000189006;12822.2259658782;2009
9970.84481751157;0.14359476885159;7481.81776100377;13287.913385578;2010
11809.3531244834;0.174646814908203;8327.79092018383;16746.4364265845;2011
12238.0848615444;0.158226097674695;8918.25771365656;16793.7197922659;2012
11999.9982163085;0.141052121014649;9050.3393940872;15911.0007836265;2013
13463.6878030159;0.146943365961261;10035.3066232353;18063.3134654175;2014
12900.591533573;0.16009749604999;9365.92566020548;17769.2272983986;2015
9562.1914821013;0.151807255926242;7058.28725386057;12954.3475140317;2016
6250.86614855078;0.15406454371794;4593.26431241019;8506.65778181519;2017
9059.95104023823;0.177575457811262;6351.63843238227;12923.0770493854;2018
7004.46866735909;0.19769812782825;4716.90125757007;10401.4433698979;2019
3072.23881866272;0.202657470008785;2048.4668036946;4607.6662515959;2020
1513.02098247577;0.2072795051018;999.549394186511;2290.26449991002;2021
457.13823865198;0.215074405538391;297.328332747265;702.843779827292;2022
218.737725445157;0.217947997914356;141.45440168644;338.244635461969;2023
202.661076198627;0.267361349593222;118.725286691507;345.937356316563;2024
