Nests;Location;Species;year;non-WB feeders;WB index
7585;Denmark;Cormorant nests;1985;0.05234015;7187.999962
9503;Denmark;Cormorant nests;1986;0.06734715;8863.000034
12188;Denmark;Cormorant nests;1987;0.06629472;11379.99995
14116;Denmark;Cormorant nests;1988;0.06758288;13162.00007
19293;Denmark;Cormorant nests;1989;0.06204323;18095.99996
23934;Denmark;Cormorant nests;1990;0.06751901;22318.00001
29607;Denmark;Cormorant nests;1991;0.08214274;27174.9999
34097;Denmark;Cormorant nests;1992;0.10364548;30563.00007
36978;Denmark;Cormorant nests;1993;0.13894748;31840.00008
38325;Denmark;Cormorant nests;1994;0.17176778;31741.99983
38913;Denmark;Cormorant nests;1995;0.17747282;32007.00016
41090;Denmark;Cormorant nests;1996;0.22290095;31930.99996
35829;Denmark;Cormorant nests;1997;0.28189455;25729.00017
38500;Denmark;Cormorant nests;1998;0.277482625;27816.91894
39704;Denmark;Cormorant nests;1999;0.2730707;28862.00093
42474;Denmark;Cormorant nests;2000;0.3084946;29371.00036
39323;Denmark;Cormorant nests;2001;0.3075554;27228.99901
40805;Denmark;Cormorant nests;2002;0.3112854;28102.99925
37497;Denmark;Cormorant nests;2003;0.3195722;25514.00122
39631;Denmark;Cormorant nests;2004;0.34092;26119.99948
39906;Denmark;Cormorant nests;2005;0.3261164;26891.99894
38014;Denmark;Cormorant nests;2006;0.3222497;25763.9999
35261;Denmark;Cormorant nests;2007;0.2989989;24717.99979
33700;Denmark;Cormorant nests;2008;0.3306231;22558.00153
32600;Denmark;Cormorant nests;2009;0.3058223;22630.19302
28037;Denmark;Cormorant nests;2010;0.2810215;20158.0002
25542;Denmark;Cormorant nests;2011;0.2737061;18550.99879
27256;Denmark;Cormorant nests;2012;0.2603463;20160.00125
24702;Denmark;Cormorant nests;2013;0.269209;18051.99928
30503;Denmark;Cormorant nests;2014;0.2515162;22831.00135
31400;Denmark;Cormorant nests;2015;0.2909554;22264.00044
31694;Denmark;Cormorant nests;2016;0.3056414;22007.00147
33186;Denmark;Cormorant nests;2017;0.309046;22929.99944
31708;Denmark;Cormorant nests;2018;0.3041504;22063.99912
30469;Denmark;Cormorant nests;2019;0.31002;21023.00062
32645;Denmark;Cormorant nests;2020;0.2883443;23232.00033
31237;Denmark;Cormorant nests;2021;0.2810129;22459.00004
30308;Denmark;Cormorant nests;2022;0.2993929;21233.99999
31079;Denmark;Cormorant nests;2023;0.286367;22179.00001
30281;Denmark;Cormorant nests;2024;0.2648195;22262.00072
