"sampling";"biomass";"species"
"2016 Jan";4050713.69178008;"cod"
"2016 Jan";32456811.6498377;"herring"
"2016 Jan";17946.2570360436;"flounder"
"2016 Jan";7798.79819439015;"plaice"
"2016 Jan";2595.09843155931;"dab"
"2015 Apr";5352683.08438217;"cod"
"2015 Apr";32977387.9186662;"herring"
"2015 Apr";16404.8630877366;"flounder"
"2015 Apr";10058.1467682651;"plaice"
"2015 Apr";2868.53276877553;"dab"
"2016 Apr";3384297.22819341;"cod"
"2016 Apr";32236195.7274401;"herring"
"2016 Apr";17993.5072034251;"flounder"
"2016 Apr";10328.3317991911;"plaice"
"2016 Apr";2459.04592766072;"dab"
"2015 May";5108392.26055016;"cod"
"2015 May";32701450.4872683;"herring"
"2015 May";17457.3350074435;"flounder"
"2015 May";10545.5346117101;"plaice"
"2015 May";2339.04132689958;"dab"
"2016 May";3141726.31145132;"cod"
"2016 May";31560721.9533033;"herring"
"2016 May";15606.8322576078;"flounder"
"2016 May";9784.63992411579;"plaice"
"2016 May";2861.85221040264;"dab"
"2017 May";5131382.27549388;"cod"
"2017 May";26974257.3908059;"herring"
"2017 May";16316.6810370327;"flounder"
"2017 May";11397.8398769359;"plaice"
"2017 May";2631.87792093454;"dab"
"2015 Jun";4866690.35728569;"cod"
"2015 Jun";32579536.4325686;"herring"
"2015 Jun";18595.4491541489;"flounder"
"2015 Jun";10939.4549482255;"plaice"
"2015 Jun";2594.61549343736;"dab"
"2016 Jun";2967006.62089218;"cod"
"2016 Jun";31173577.234995;"herring"
"2016 Jun";15120.7963000838;"flounder"
"2016 Jun";10926.2109172952;"plaice"
"2016 Jun";2477.01140287385;"dab"
"2017 Jun";5579079.44243089;"cod"
"2017 Jun";26266706.2259016;"herring"
"2017 Jun";13455.8321200719;"flounder"
"2017 Jun";9127.68866296281;"plaice"
"2017 Jun";2534.56870621152;"dab"
"2016 Aug";2704014.14742551;"cod"
"2016 Aug";30178735.2471098;"herring"
"2016 Aug";16200.8091560303;"flounder"
"2016 Aug";10939.5149324864;"plaice"
"2016 Aug";3036.14490121077;"dab"
"2015 Oct";4160964.0221262;"cod"
"2015 Oct";32996509.2632023;"herring"
"2015 Oct";19693.8864729394;"flounder"
"2015 Oct";10045.9428503953;"plaice"
"2015 Oct";2678.15914200658;"dab"
"2017 Mar";4181715.47300273;"cod"
"2017 Mar";28366423.1155532;"herring"
"2017 Mar";15355.7506478026;"flounder"
"2017 Mar";13253.3536690465;"plaice"
"2017 Mar";2776.65062204045;"dab"
"2017 Jul";6008078.17439605;"cod"
"2017 Jul";25631689.6646116;"herring"
"2017 Jul";15556.4329206606;"flounder"
"2017 Jul";11718.0828102592;"plaice"
"2017 Jul";1769.75930996655;"dab"
"2017 Aug";6614945.398284;"cod"
"2017 Aug";24999362.5720474;"herring"
"2017 Aug";15431.4722343003;"flounder"
"2017 Aug";12033.9239288329;"plaice"
"2017 Aug";2095.87498499779;"dab"
"2017 Oct";8108498.35996592;"cod"
"2017 Oct";24341738.9787603;"herring"
"2017 Oct";14670.1505113102;"flounder"
"2017 Oct";12439.3775474545;"plaice"
"2017 Oct";2933.80244921979;"dab"
"2016 Feb";3835675.19201675;"cod"
"2016 Feb";32537506.6873796;"herring"
"2016 Feb";16479.6919459411;"flounder"
"2016 Feb";9353.41944056917;"plaice"
"2016 Feb";2423.94557900895;"dab"
"2016 Mar";3635933.17250867;"cod"
"2016 Mar";32444220.0374013;"herring"
"2016 Mar";18187.7204202632;"flounder"
"2016 Mar";9991.09582913803;"plaice"
"2016 Mar";3377.9153155225;"dab"
"2016 Jul";2785573.06127109;"cod"
"2016 Jul";30552798.2652526;"herring"
"2016 Jul";16241.1933260883;"flounder"
"2016 Jul";11877.0671329893;"plaice"
"2016 Jul";2074.36605416728;"dab"
"2015 Aug";4441896.5243857;"cod"
"2015 Aug";32315179.9706466;"herring"
"2015 Aug";16338.26878158;"flounder"
"2015 Aug";9037.9006446251;"plaice"
"2015 Aug";1835.55374255348;"dab"
"2015 Sep";4251863.04041877;"cod"
"2015 Sep";32426582.4485596;"herring"
"2015 Sep";16945.0270790669;"flounder"
"2015 Sep";9629.41283905143;"plaice"
"2015 Sep";2417.34633636795;"dab"
"2016 Nov";2821671.18096593;"cod"
"2016 Nov";30221688.22684;"herring"
"2016 Nov";12635.7242209548;"flounder"
"2016 Nov";8667.55861202167;"plaice"
"2016 Nov";2488.96670056352;"dab"
"2017 Jan";3279949.02389902;"cod"
"2017 Jan";28891850.1853261;"herring"
"2017 Jan";13877.3166269339;"flounder"
"2017 Jan";11663.5551786903;"plaice"
"2017 Jan";3596.0280483751;"dab"
