"sampling";"biomass";"species"
"1993 Apr";26004648.7035319;"cod"
"1993 Apr";112010163.352453;"herring"
"1993 Apr";12011.9947406778;"flounder"
"1993 Apr";684.858214513017;"plaice"
"1993 Apr";3487.98912337678;"dab"
"1994 Apr";17225181.4066596;"cod"
"1994 Apr";93008286.661381;"herring"
"1994 Apr";14217.4795339229;"flounder"
"1994 Apr";1094.64897098471;"plaice"
"1994 Apr";2281.99078507618;"dab"
"1993 Aug";20981808.7527162;"cod"
"1993 Aug";102422862.628131;"herring"
"1993 Aug";14047.1991063387;"flounder"
"1993 Aug";727.325852908446;"plaice"
"1993 Aug";1819.9122792708;"dab"
"1994 Aug";18160292.2402708;"cod"
"1994 Aug";84483365.2834408;"herring"
"1994 Aug";11332.5791783325;"flounder"
"1994 Aug";1399.72855192043;"plaice"
"1994 Aug";2240.27220653061;"dab"
"1993 Feb";28011469.0746257;"cod"
"1993 Feb";115965992.408591;"herring"
"1993 Feb";13961.1076694723;"flounder"
"1993 Feb";595.688723335933;"plaice"
"1993 Feb";2791.6269178485;"dab"
"1993 Jul";22198207.1060014;"cod"
"1993 Jul";104367742.98248;"herring"
"1993 Jul";10826.4960095786;"flounder"
"1993 Jul";914.513002966155;"plaice"
"1993 Jul";3101.9574700745;"dab"
"1994 Jul";17543734.3563227;"cod"
"1994 Jul";86281368.0392074;"herring"
"1994 Jul";12520.8463588226;"flounder"
"1994 Jul";714.847827437797;"plaice"
"1994 Jul";2214.15881939843;"dab"
"1993 Jun";23458084.6778577;"cod"
"1993 Jun";106961678.445668;"herring"
"1993 Jun";14218.8991073093;"flounder"
"1993 Jun";697.647623400495;"plaice"
"1993 Jun";2586.70965795064;"dab"
"1994 Jun";17349461.0953705;"cod"
"1994 Jun";88388862.4278651;"herring"
"1994 Jun";12130.7738409075;"flounder"
"1994 Jun";1027.23474567884;"plaice"
"1994 Jun";1674.50948807726;"dab"
"1993 Mar";27239631.3125931;"cod"
"1993 Mar";114453492.850785;"herring"
"1993 Mar";12105.4358334689;"flounder"
"1993 Mar";758.670969679403;"plaice"
"1993 Mar";2679.13710733527;"dab"
"1994 Mar";17363352.0830619;"cod"
"1994 Mar";94870972.0983884;"herring"
"1994 Mar";11649.4158268025;"flounder"
"1994 Mar";964.86521203569;"plaice"
"1994 Mar";2644.25992876494;"dab"
"1993 May";24884493.3754494;"cod"
"1993 May";109685411.918331;"herring"
"1993 May";12994.5820568064;"flounder"
"1993 May";488.140572783769;"plaice"
"1993 May";3852.74040896383;"dab"
"1994 May";17151599.4409577;"cod"
"1994 May";90618290.1942414;"herring"
"1994 May";13920.2258318299;"flounder"
"1994 May";642.483773852338;"plaice"
"1994 May";1884.89506060908;"dab"
"1994 Oct";20534409.5569772;"cod"
"1994 Oct";82321366.4895681;"herring"
"1994 Oct";10643.6316798847;"flounder"
"1994 Oct";1058.77199051959;"plaice"
"1994 Oct";2029.45683079637;"dab"
"1992 Sep";23863317.2322102;"cod"
"1992 Sep";116458116.324501;"herring"
"1992 Sep";9275.84151295267;"flounder"
"1992 Sep";1249.13991437473;"plaice"
"1992 Sep";2206.29147227347;"dab"
"1993 Sep";19891343.764122;"cod"
"1993 Sep";101220884.863706;"herring"
"1993 Sep";11036.7274090995;"flounder"
"1993 Sep";1031.54347717909;"plaice"
"1993 Sep";3023.01552569547;"dab"
