"year";"a";"b";"species"
"1991";0.00584786062029699;3.16110915383828;"cod"
"1992";0.00696970374267104;3.1079219436783;"cod"
"1993";0.00589307149066196;3.1512695879259;"cod"
"1994";0.00768270589412956;3.07719735549144;"cod"
"1995";0.00778067319614968;3.06716054983866;"cod"
"1996";0.0128081062039731;2.94490331199863;"cod"
"1997";0.009141503568255;3.03001504562094;"cod"
"1998";0.00728840883800393;3.08102064628228;"cod"
"1999";0.00669481482313603;3.10289360978752;"cod"
"2000";0.00620570887319239;3.12924705790491;"cod"
"2001";0.00764870728617314;3.07269322647083;"cod"
"2002";0.00699367980038675;3.1009774783145;"cod"
"2003";0.00592363217468328;3.13961358970832;"cod"
"2004";0.00432535518876478;3.21677027296716;"cod"
"2005";0.00732836112380757;3.06993887916075;"cod"
"2006";0.00866630016745682;3.02969407858737;"cod"
"2007";0.00920127470378143;3.01557439760231;"cod"
"2008";0.00509482378708755;3.15837786279242;"cod"
"2009";0.0064627580446978;3.1035219821255;"cod"
"2010";0.00667482025864604;3.10576912121446;"cod"
"2011";0.008596582428599;3.03495602469918;"cod"
"2012";0.0094934007659641;3.00765254193065;"cod"
"2013";0.0052053628239142;3.16140380547826;"cod"
"2014";0.00306907904259072;3.30257250553749;"cod"
"2015";0.00708043459548167;3.07507823683633;"cod"
"2016";0.00910070362910618;3.01995475768514;"cod"
"2017";0.00642233708768787;3.10422562256944;"cod"
"2018";0.0064573143792557;3.0984249597756;"cod"
"2019";0.00838488335616764;3.02135971172314;"cod"
"2020";0.00414155740842008;3.20276223612425;"cod"
"2021";0.00591936502698687;3.12219863241837;"cod"
"2022";0.00517761974667425;3.14764440184039;"cod"
"2023";0.00572806445863899;3.11437569295598;"cod"
"2024";0.00610623161917979;3.10041268014111;"cod"
"generic";0.00123798116066553;3.54456718599656;"herring"
"1992";0.0120883843941261;3.01852518136325;"flounder"
"1993";0.00725101445360745;3.15873510215074;"flounder"
"1994";0.0111536963487254;3.05379933734651;"flounder"
"1995";0.00964387028912695;3.08790787189287;"flounder"
"1996";0.00940758952488576;3.10298445562911;"flounder"
"1997";0.0070872032925919;3.18141328270656;"flounder"
"1998";0.00651183304565901;3.20275589676067;"flounder"
"1999";0.00476059030479146;3.29846924145555;"flounder"
"2000";0.00489309188854764;3.29468745425882;"flounder"
"2001";0.00561286673112813;3.24620157739669;"flounder"
"2002";0.00571114984421468;3.24047959447171;"flounder"
"2003";0.00449517697646907;3.30771894046027;"flounder"
"2004";0.00709105046096245;3.166533510811;"flounder"
"2005";0.00624614582028769;3.20672291852361;"flounder"
"2006";0.00980843866640662;3.07931151637425;"flounder"
"2007";0.00935704560732049;3.08847410017909;"flounder"
"2008";0.00683093163811997;3.17610389256063;"flounder"
"2009";0.0112752424635351;3.02304302785872;"flounder"
"2010";0.00653309880212645;3.19079052984053;"flounder"
"2011";0.00967179578471906;3.07929288829145;"flounder"
"2012";0.0113456028260313;3.02692843230469;"flounder"
"2013";0.0112131273014135;3.02490552236734;"flounder"
"2014";0.010213566793229;3.0449131145093;"flounder"
"2015";0.0151809893352214;2.92154115589302;"flounder"
"2016";0.013704652059584;2.95002398577501;"flounder"
"2017";0.0118019953145;2.9914164106106;"flounder"
"2018";0.0104506573072316;3.02574216229162;"flounder"
"2019";0.00853815683268873;3.07376185188317;"flounder"
"2020";0.0133508324592184;2.93771629033591;"flounder"
"2021";0.0211762592886865;2.80896122853852;"flounder"
"2022";0.0149812466798254;2.89880188766372;"flounder"
"2023";0.0190179195054491;2.83449738941917;"flounder"
"2024";0.017196246294572;2.86203041617906;"flounder"
"1994";0.00560198184946605;3.21356122601498;"plaice"
"1995";0.00589989854558152;3.18204939012281;"plaice"
"1996";0.00265731514126371;3.41621804945882;"plaice"
"1997";0.00657134649554276;3.15306739079097;"plaice"
"1998";0.00604095230878704;3.17665525735537;"plaice"
"1999";0.00523723853026477;3.24317610761115;"plaice"
"2000";0.00411698556694395;3.30358410306207;"plaice"
"2001";0.00588144426478211;3.18699288560062;"plaice"
"2002";0.00580461368371511;3.18863541939558;"plaice"
"2003";0.00560148661827339;3.2083687980987;"plaice"
"2004";0.0112009320741694;2.99994040343421;"plaice"
"2005";0.00708733002389604;3.13762773788677;"plaice"
"2006";0.00668458487001706;3.1458941808312;"plaice"
"2007";0.00301704799117296;3.38601083000995;"plaice"
"2008";0.00518216241174878;3.21586186883992;"plaice"
"2009";0.00519579204025522;3.216877836063;"plaice"
"2010";0.00569272634010445;3.18817148803465;"plaice"
"2011";0.0042692988695368;3.27985859484986;"plaice"
"2012";0.00476373869387062;3.24531999036496;"plaice"
"2013";0.00675692508330785;3.14424028751247;"plaice"
"2014";0.00563670781453064;3.19700980060417;"plaice"
"2015";0.00543536552300012;3.20102147400632;"plaice"
"2016";0.00658202024450401;3.12685253309024;"plaice"
"2017";0.00564449238949819;3.18463409503388;"plaice"
"2018";0.00825215114784244;3.06860298629931;"plaice"
"2019";0.00736029571685802;3.09563345694365;"plaice"
"2020";0.00753244237750894;3.08794647920168;"plaice"
"2021";0.00819351762948563;3.05671578156257;"plaice"
"2022";0.00873104555649048;3.03081780778692;"plaice"
"2023";0.0108716540196337;2.9541431675393;"plaice"
"2024";0.00663703197756769;3.10925014042469;"plaice"
"1994";0.0193653624988414;2.86482017391718;"dab"
"1995";0.0135922630779793;2.9462954491112;"dab"
"1996";0.0118057680495059;3.01072362794165;"dab"
"1997";0.00710433783075045;3.17145542005068;"dab"
"1998";0.00734057944059383;3.13936369202472;"dab"
"2000";0.0113356807851824;3.02554532858217;"dab"
"2004";0.0041273601665984;3.32285797591582;"dab"
"2008";0.00716991414851709;3.14302345545353;"dab"
"2009";0.00619725141190634;3.18807841746095;"dab"
"2010";0.00576067367840605;3.22109642057858;"dab"
"2011";0.00654972222567574;3.17158341275979;"dab"
"2012";0.00732312889241494;3.14008014963066;"dab"
"2013";0.00706314518114273;3.14305723808312;"dab"
"2014";0.0119677689776216;2.97510256465273;"dab"
"2015";0.00862565711772742;3.08055311684484;"dab"
"2016";0.0069060163503249;3.14647860217245;"dab"
"2017";0.0110328652724541;2.9952984664592;"dab"
"2018";0.00987579941326515;3.03417563372864;"dab"
"2019";0.0138562497510926;2.93457546609138;"dab"
"2020";0.00797179340604696;3.09565339100322;"dab"
"2021";0.0131996393572882;2.92024885560464;"dab"
"2022";0.00978301993348419;3.0235573132816;"dab"
"2023";0.010678208170085;2.97769321577916;"dab"
"2024";0.00704081605666323;3.11271565269101;"dab"
